ph_6_92,,
Wavelength (nm),Intensity (a.u.),
500,39.86421585,
501.0400085,39.27011871,
501.9400024,37.63383865,
502.980011,37.39790344,
504.019989,36.67668533,
505.0700073,36.07580566,
505.9700012,35.70243073,
507.0100098,34.94618988,
508.0499878,35.34110641,
508.9500122,33.63469315,
510,34.13480759,
511.0400085,33.70625687,
511.9400024,32.8588562,
512.9799805,32.45630646,
514.0200195,32.2480278,
515.0700073,32.10290146,
515.9699707,32.62149811,
517.0100098,31.49354172,
518.0499878,30.66583633,
518.9500122,30.37505913,
520,29.96459198,
521.039978,30.21581459,
521.9400024,29.29910088,
522.9799805,29.74798012,
524.0200195,29.60843086,
525.0700073,29.61017036,
525.9699707,29.11694908,
527.0100098,29.00731277,
528.0499878,28.1511364,
528.9500122,28.8140583,
530,28.12121201,
531.039978,27.60142136,
531.9400024,26.85870934,
532.9799805,26.31406784,
534.0200195,25.61522675,
535.0700073,24.94673538,
535.9699707,24.76433372,
537.0100098,24.22098923,
538.0499878,23.89428711,
538.9500122,23.74639893,
540,23.23400307,
541.0200195,22.37467194,
542.0499878,21.73047256,
542.9400024,21.90238953,
543.9699707,20.95824623,
545,20.25961876,
546.0200195,20.05771255,
547.0499878,19.72160912,
547.9400024,19.44193459,
548.9699707,18.97665024,
550,18.41363716,
551.039978,17.68793869,
551.9400024,17.34303856,
552.9799805,16.70102692,
554.0200195,17.04047203,
555.0700073,16.85433388,
555.9699707,16.78708458,
557.0100098,16.89479065,
558.0499878,16.88047981,
558.9500122,16.9787159,
560,17.04756165,
561.0200195,17.28026772,
562.0499878,17.32495689,
562.9400024,17.66540718,
563.9699707,17.54698563,
565,17.54339027,
566.0200195,17.83319473,
567.0499878,17.47845078,
567.9400024,17.77305603,
568.9699707,17.17848396,
570,17.22500038,
571.0200195,15.94674778,
572.0499878,15.37140846,
572.9400024,15.56503582,
573.9699707,14.53769588,
575,13.63208008,
576.0200195,13.38079643,
577.0499878,12.62212849,
577.9400024,12.19501019,
578.9699707,11.29397202,
580,11.06008148,
581.0200195,10.34942818,
582.0499878,10.24888802,
582.9400024,10.26664162,
583.9699707,9.505167007,
585,9.525422096,
586.0200195,9.528726578,
587.0499878,9.206791878,
587.9400024,9.125844955,
588.9699707,8.972020149,
590,9.087859154,
591.0200195,8.559819221,
592.0499878,8.85115242,
592.9400024,8.398807526,
593.9699707,8.170082092,
595,8.557613373,
596.0200195,8.292245865,
597.0499878,8.112774849,
597.9400024,7.914777756,
598.9699707,7.70114851,
600,7.920255661,
601.0200195,7.669384003,
602.0499878,7.675814152,
602.9400024,7.595393658,
603.9699707,7.381097317,
605,7.046104908,
606.0200195,7.080196381,
607.0499878,7.168685436,
607.9400024,7.167516708,
608.9699707,6.809617996,
610,7.122173786,
611.0100098,7.047235489,
612.0200195,6.78410244,
613.039978,6.82151556,
614.0499878,6.371299744,
615.0700073,6.612607002,
615.9400024,6.372951508,
616.9500122,6.03205061,
617.9699707,6.484721661,
618.9799805,6.495695591,
620,6.349915028,
621.0100098,6.511876583,
622.0200195,6.49274826,
623.039978,6.405642509,
624.0499878,6.324319839,
625.0700073,6.2356534,
625.9400024,6.595554352,
626.9500122,6.647263527,
627.9699707,6.184006691,
628.9799805,6.38643837,
630,6.613613605,
631.0100098,6.939854622,
632.0200195,7.001208782,
633.039978,6.993134022,
634.0499878,7.76070118,
635.0700073,7.906269073,
635.9400024,8.227830887,
636.9500122,8.834888458,
637.9699707,9.708650589,
638.9799805,10.3743391,
640,11.26477146,
641.0100098,12.70894527,
642.0200195,13.75550079,
643.039978,15.0235424,
644.0499878,17.21315765,
645.0700073,19.78128052,
645.9400024,21.64233971,
646.9500122,24.50451088,
647.9699707,27.52410316,
648.9799805,31.15606117,
650,35.60725784,
651.0100098,39.88314819,
652.0200195,45.15346909,
653.039978,50.22957611,
654.0499878,58.62002945,
655.0700073,65.76779938,
655.9400024,72.67919922,
656.9500122,82.13169098,
657.9699707,91.34993744,
658.9799805,103.2085495,
660,115.3054276,
661,129.6306458,
662,146.8959808,
663,164.6099091,
664,182.1549377,
665,200.8928986,
666,220.366745,
667,242.3444366,
668,265.1528015,
669,287.9143677,
670,310.3061829,
671,331.3962402,
672,351.9638977,
673,370.1066589,
674,382.6974182,
675,394.6332092,
676,407.4970093,
677,412.6442871,
678,416.0737915,
679,414.5041809,
680,412.7729797,
681,410.1708679,
682,401.3036194,
683,394.5535583,
684,382.0295715,
685,370.6208191,
686,358.70224,
687,347.0969543,
688,337.3526917,
689,326.3700867,
690,317.037323,
691,304.6012268,
692,295.0646362,
693,288.1510315,
694,278.2084961,
695,274.9458008,
696,264.6026001,
697,259.2262878,
698,253.3553009,
699,246.3417511,
700,241.7667389,
700.9799805,231.9887085,
701.9699707,227.3608398,
702.9500122,221.3739777,
703.9400024,215.41716,
705.0700073,208.0028992,
706.0499878,204.7494659,
707.039978,196.3818817,
708.0200195,191.2225647,
709.0100098,185.8407898,
710,179.1697845,
711,172.2322845,
712,167.0599823,
713,160.1629486,
714,154.855835,
715,150.341156,
716,147.2055969,
717,143.2164154,
718,139.6678314,
719,134.8418579,
720,130.4402161,
720.9799805,130.6808472,
721.9699707,129.2601013,
722.9500122,124.8884964,
723.9400024,123.2459412,
725.0700073,122.3508682,
726.0499878,120.5606689,
727.039978,117.1001587,
728.0200195,114.7978439,
729.0100098,113.1968613,
730,112.038063,
730.9699707,111.2156601,
731.9400024,107.5089874,
733.0499878,105.3339996,
734.0200195,104.5113068,
735,102.4598083,
735.9699707,100.9422073,
736.9400024,98.49681854,
738.0499878,96.25161743,
739.0200195,93.58586884,
740,92.28466034,
740.9799805,90.06659698,
741.9699707,88.09185028,
742.9500122,87.29981995,
743.9400024,84.51390076,
745.0700073,82.68989563,
746.0499878,79.9681778,
747.039978,78.61819458,
748.0200195,77.00049591,
749.0100098,74.55201721,
750,71.00268555,
750.9699707,71.55638123,
751.9400024,69.44055176,
753.0499878,67.89241791,
754.0200195,64.64788055,
755,62.39784241,
755.9699707,61.15477371,
756.9400024,59.06958771,
758.0499878,57.76610184,
759.0200195,55.68142319,
760,54.26266098,
760.9699707,52.20116806,
761.9400024,51.43199921,
763.0499878,49.05660629,
764.0200195,47.3007431,
765,45.5919342,
765.9699707,44.47410202,
766.9400024,42.63393021,
768.0499878,40.45494461,
769.0200195,39.50221634,
770,37.98946762,
770.9699707,37.00993347,
771.9400024,35.39783478,
773.0499878,34.15050888,
774.0200195,32.94833374,
775,31.63778687,
775.9699707,30.74730492,
776.9400024,29.95592308,
778.0499878,28.55168724,
779.0200195,27.39479446,
780,26.87273026,
780.9500122,26.23785973,
782.0499878,24.9832325,
783.0100098,24.68042755,
783.9699707,23.5327549,
785.0599976,23.04681778,
786.0200195,22.08799934,
786.9799805,21.72424316,
787.9400024,20.71013832,
789.039978,20.90317345,
790,20.34809303,
790.9500122,19.60607338,
792.0499878,19.99676895,
793.0100098,19.3013382,
793.9699707,19.19227982,
795.0599976,18.48626709,
796.0200195,18.15655136,
796.9799805,18.11131477,
797.9400024,17.76264954,
799.039978,17.05498695,
800,16.85650444,

